2024-08-01 13:22:09,489 INFO    StreamThr :16072 [internal.py:wandb_internal():85] W&B internal server running at pid: 16072, started at: 2024-08-01 13:22:09.489998
2024-08-01 13:22:09,494 DEBUG   HandlerThread:16072 [handler.py:handle_request():158] handle_request: status
2024-08-01 13:22:09,495 INFO    WriterThread:16072 [datastore.py:open_for_write():87] open: C:\Users\olivi\.vscode\projects\wandb\run-20240801_132209-1qdovvf3\run-1qdovvf3.wandb
2024-08-01 13:22:09,497 DEBUG   SenderThread:16072 [sender.py:send():379] send: header
2024-08-01 13:22:09,560 DEBUG   SenderThread:16072 [sender.py:send():379] send: run
2024-08-01 13:22:09,860 INFO    SenderThread:16072 [dir_watcher.py:__init__():211] watching files in: C:\Users\olivi\.vscode\projects\wandb\run-20240801_132209-1qdovvf3\files
2024-08-01 13:22:09,860 INFO    SenderThread:16072 [sender.py:_start_run_threads():1188] run started: 1qdovvf3 with start time 1722540129.489997
2024-08-01 13:22:09,869 DEBUG   HandlerThread:16072 [handler.py:handle_request():158] handle_request: check_version
2024-08-01 13:22:09,869 DEBUG   SenderThread:16072 [sender.py:send_request():406] send_request: check_version
2024-08-01 13:22:10,006 DEBUG   HandlerThread:16072 [handler.py:handle_request():158] handle_request: run_start
2024-08-01 13:22:10,026 DEBUG   HandlerThread:16072 [system_info.py:__init__():26] System info init
2024-08-01 13:22:10,026 DEBUG   HandlerThread:16072 [system_info.py:__init__():41] System info init done
2024-08-01 13:22:10,026 INFO    HandlerThread:16072 [system_monitor.py:start():194] Starting system monitor
2024-08-01 13:22:10,026 INFO    SystemMonitor:16072 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-08-01 13:22:10,026 INFO    HandlerThread:16072 [system_monitor.py:probe():214] Collecting system info
2024-08-01 13:22:10,026 INFO    SystemMonitor:16072 [interfaces.py:start():188] Started cpu monitoring
2024-08-01 13:22:10,037 DEBUG   HandlerThread:16072 [system_info.py:probe():152] Probing system
2024-08-01 13:22:10,037 INFO    SystemMonitor:16072 [interfaces.py:start():188] Started disk monitoring
2024-08-01 13:22:10,037 INFO    SystemMonitor:16072 [interfaces.py:start():188] Started memory monitoring
2024-08-01 13:22:10,056 INFO    SystemMonitor:16072 [interfaces.py:start():188] Started network monitoring
2024-08-01 13:22:10,064 DEBUG   HandlerThread:16072 [system_info.py:_probe_git():137] Probing git
2024-08-01 13:22:10,174 DEBUG   HandlerThread:16072 [system_info.py:_probe_git():145] Probing git done
2024-08-01 13:22:10,174 DEBUG   HandlerThread:16072 [system_info.py:probe():200] Probing system done
